Received Date,From,Email Subject,Message Content
2021-09-14 12:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 12:13:21+05:30,support@newsapi.org,News API registration complete!,text/plain; charset=utf-8
2021-09-14 11:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 10:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 10:35:12+05:30,XDA <newsletter@xda-developers.com>,One UI 4 Beta program lets Galaxy S21 users try out Android 12,text/html; charset=UTF-8
2021-09-14 10:01:10+05:30,Medium Membership <members@medium.com>,How your membership rewards great writing,multipart/alternative; boundary=ce86cfa580abe9d78d981d77a727bbca2466aab21711a90cf03321718620
2021-09-14 09:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 09:49:31+05:30,HDFC Bank <informations@hdfcbank.net>,"=?utf-8?B?RGVlcGFrIFMgTmFtYmlhciwgZWFzZSBvdXQgeW91ciBDcmVk?=
	=?utf-8?B?aXQgQ2FyZCBzcGVuZHMgYmVmb3JlIGJpbGwgZGF0ZQ==?=","text/html;
	charset=""utf-8"""
2021-09-14 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 08:30:29+05:30,"""Amazon Internet Services Pvt. Ltd."" <aws-india-marketing@amazon.com>",Automate and and Reduce Risk for your business,"multipart/alternative; 
	boundary=""----=_Part_227750357_278257947.1631588424394"""
2021-09-14 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 07:40:32+05:30,CoinCodex <noreply@coincodex.com>,"=?utf-8?B?4q2Q?= Your Daily Crypto Recap (Sep 14, 2021).","multipart/alternative; 
	boundary=""----=_Part_27512_775962878.1631585430882"""
2021-09-14 07:00:02+05:30,Medium Daily Digest <noreply@medium.com>,"Four Unusual Python Code Smells | Mohammed Ayar in Towards Data
 Science",multipart/alternative; boundary=ef3c60f9e1815a833f28c665a26b5922bb5ea78eb4b522a317de09c8553f
2021-09-14 06:53:25+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 05:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 05:34:11+05:30,"""Amazon.in"" <store-news@amazon.in>",Zinq Technologies Cool Slate...,"multipart/alternative; 
	boundary=""----=_Part_114096_775816968.1631577850237"""
2021-09-14 04:54:26+05:30,Steam <noreply@steampowered.com>,Katana ZERO from your Steam wishlist is now on sale!,"multipart/alternative;
 boundary=""np613fdda992f62"""
2021-09-14 03:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 03:51:06+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>",Limited period offer on MakeMyTrip! Get up to 30% savings exclusively with Citi cards,"multipart/alternative;
	boundary=""pTX6Pir6srkr=_?:"""
2021-09-14 02:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 01:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 00:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 23:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 22:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 21:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 20:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 20:14:43+05:30,CoinCodex <noreply@coincodex.com>,"=?utf-8?Q?=F0=9F=9A=80?= Discover Top 3 Coins to Watch & Get 500
 BUSD","multipart/alternative;
 boundary=""_=_swift_1631544282_e88a1a297469f007bd0e6e5773ad924b_=_"""
2021-09-13 20:07:03+05:30,GemPundit <promotions@mailer.gempundit.com>,=?UTF-8?Q?Mega_Festive_Season_Sale_is_Live=F0=9F=8E=89?=,"multipart/mixed; 
	boundary=""----=_Part_367777_1569142020.1631543822055"""
2021-09-13 19:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 19:24:07+05:30,"""Amazon.in"" <order-update@amazon.in>",Delivered: Your Amazon package has been delivered.,"multipart/alternative; 
	boundary=""----=_Part_46697371_1171600537.1631541246936"""
2021-09-13 19:23:48+05:30,"""Amazon.in"" <order-update@amazon.in>",Delivered: Your Amazon package has been delivered.,"multipart/alternative; 
	boundary=""----=_Part_46964599_1687399522.1631541227584"""
2021-09-13 19:23:40+05:30,"""Amazon.in"" <order-update@amazon.in>",Delivered: Your Amazon package has been delivered.,"multipart/alternative; 
	boundary=""----=_Part_46615156_142787250.1631541220397"""
2021-09-13 19:23:22+05:30,"""Amazon.in"" <order-update@amazon.in>",Delivered: Your Amazon package has been delivered.,"multipart/alternative; 
	boundary=""----=_Part_47113773_1446452375.1631541201918"""
2021-09-13 18:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 17:29:46+05:30,"""Nomics.com News"" <news@nomics.com>","ETH Down 5.97%, Bitcoin investors are reportedly exempt from taxes in
 El Salvador",multipart/related; boundary=a007212c4bf4b3349f1ea40fa53657f7a043acef8bb0d003f1a3f7a0fae5
2021-09-13 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 15:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 15:05:54+05:30,Bajaj Allianz Life <websales@bajajallianzlife.in>,"=?UTF-8?Q?deepak_nambiar,_Have_you_checked_your_immunity_=F0=9F=92=AAscor?=
 =?UTF-8?Q?e_yet=3F?=","multipart/alternative;
	boundary=""b1_1d2650aae3f7368c29fd5c95d0e393b8"""
2021-09-13 14:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 14:22:08+05:30,=?ISO-8859-1?B?U0JJIENhcmQ=?= <updates@info.sbicreditcard.com>,Smallest EMIs on latest electronics,"text/html;
	charset=""ISO-8859-1"""
2021-09-13 14:13:14+05:30,Netflix <info@mailer.netflix.com>,A new device is using your account,"multipart/alternative; 
	boundary=""----=_Part_439610_1297949078.1631522593615"""
2021-09-13 14:06:41+05:30,"""YES Premia CREDIT CARDS"" <customer.communication@custcom.yesbank.email>",Healthcare offer for you,"multipart/alternative;
	boundary=""----=_NextPart_010_AD82A259.AD82A259"""
2021-09-13 13:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 13:26:17+05:30,"""Amazon.in"" <shipment-tracking@amazon.in>",Your Amazon.in order #403-7620191-4008335,"multipart/alternative; 
	boundary=""----=_Part_42567891_1939525822.1631519777527"""
2021-09-13 13:24:25+05:30,"""Amazon.in"" <shipment-tracking@amazon.in>",Your Amazon.in order #403-7620191-4008335 of 2 items,"multipart/alternative; 
	boundary=""----=_Part_43369484_1878196843.1631519664751"""
2021-09-13 13:04:40+05:30,"""ICICI Bank"" <services@custcomm.icicibank.com>","Dear Customer, avail a loan of Rs 340000 on your ICICI Bank Credit Card in two clicks","multipart/alternative;
	boundary=""b1_adf7d55e30361a99a99ece1aba405460"""
2021-09-13 12:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 11:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 11:38:42+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Congratulations! Get 0% Processing Fee on your instant loan of Rs. 316,000","multipart/alternative;
	boundary=""9f7GOmvQKwxW=_?:"""
2021-09-13 10:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 10:36:38+05:30,Netflix <info@mailer.netflix.com>,Enjoying Rick and Morty?,"multipart/alternative; 
	boundary=""----=_Part_542966_1018241458.1631509597821"""
2021-09-13 10:34:46+05:30,"""Amazon.in"" <shipment-tracking@amazon.in>",Your Amazon.in order #403-6203734-8594704,"multipart/alternative; 
	boundary=""----=_Part_41649811_15780853.1631509485520"""
2021-09-13 09:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 09:44:53+05:30,Google Pay <google-pay-noreply@google.com>,New bill from Tamil Nadu Electricity (TNEB). Pay now on Google Pay,"multipart/alternative; boundary=""000000000000fded8305cbd8b4c9"""
2021-09-13 09:34:21+05:30,XDA <newsletter@xda-developers.com>,OPPO will unveil ColorOS 12 based on Android 12 this week,text/html; charset=UTF-8
2021-09-13 09:00:02+05:30,Balance <hello@balanceapp.com>,Balance Weekly: How to break an unhealthy habit,multipart/alternative; boundary=72d291b04c155b7b9d13b12bccfdebc17c928643cf0839621a6c7c24d83e
2021-09-13 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 07:40:32+05:30,CoinCodex <noreply@coincodex.com>,"=?utf-8?B?4q2Q?= Your Daily Crypto Recap (Sep 13, 2021).","multipart/alternative; 
	boundary=""----=_Part_20359_1633305577.1631499031451"""
2021-09-13 07:00:02+05:30,Medium Daily Digest <noreply@medium.com>,"Three Decorators Commonly Used in Python Custom Classes | Yong Cui in
 The Startup",multipart/alternative; boundary=bfde1b3fc988c336cbd83ec4cc80c00540a6f349827964c8789c4e2241b8
2021-09-13 06:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 06:43:38+05:30,Amazon Web Services <no-reply-aws@amazon.com>,We have not yet received payment for Aug-2021,"multipart/alternative; 
	boundary=""----=_Part_37001322_1982762754.1631495618229"""
2021-09-13 05:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 05:05:17+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Dear Deepak S Nambiar, now convert your Citi Credit Card outstanding into EMIs in just 2-clicks","multipart/alternative;
	boundary=""TcTYjcHZFfwb=_?:"""
2021-09-13 04:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 02:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 01:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-13 00:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 23:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 23:35:41+05:30,"""ISACA"" <isaca@em.isaca.org>",System Upgrade In Progress,"multipart/alternative;
	boundary=""YxhDNplC1Dxa=_?:"""
2021-09-12 22:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 22:44:20+05:30,"""Amazon.in"" <order-update@amazon.in>",Amazon.in - Your Cancellation 403-2296639-6525949,"multipart/alternative; 
	boundary=""----=_Part_37495851_1843999377.1631466859530"""
2021-09-12 22:03:09+05:30,"""Amazon.in"" <do-not-reply@amazon.in>",Congratulations! You've won a scratch card,"multipart/alternative; 
	boundary=""----=_Part_37640297_1511824562.1631464389575"""
2021-09-12 22:02:56+05:30,"""Amazon.in"" <auto-confirm@amazon.in>",Your Amazon.in order #403-2296639-6525949 of 2 items,"multipart/alternative; 
	boundary=""----=_Part_37722664_1915664912.1631464376200"""
2021-09-12 21:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 20:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 19:53:06+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 18:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 17:35:51+05:30,"""SBI Card Offers"" <offers@emailer.sbicard.com>",Here's your chance to win a Gift Voucher!,"multipart/alternative;
	boundary=""b1_54bb00b890e8a54733e0c5517b168a7e"""
2021-09-12 17:30:26+05:30,"""Nomics.com News"" <news@nomics.com>","ETH Up 3.49%, The Next El Salvador? These Are the Regions Witnessing
 a 'Gravitation' Towards Bitcoin, Says Grayscale CEO - The Daily Hodl",multipart/related; boundary=5496b14cd8d7ace515f979eee0237272b88ab1c4b6f040ba3a380654efe9
2021-09-12 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 4 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 16:04:19+05:30,"""Amazon.in"" <shipment-tracking@amazon.in>","Your Amazon.in order #403-7620191-4008335 of 2 items has been
 dispatched","multipart/alternative; 
	boundary=""----=_Part_35674851_1218825982.1631442858469"""
2021-09-12 15:55:05+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 4 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 14:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 4 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 14:52:04+05:30,Myntra <updates@myntra.com>,New Season Must-Haves For You,"multipart/alternative;
	boundary=""b1_f3f912ac02952b8b5b6e1402e5b5914b"""
2021-09-12 13:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 4 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 13:39:27+05:30,"""Amazon.in"" <shipment-tracking@amazon.in>","Your Amazon.in order #403-7620191-4008335 of 1 item has been
 dispatched","multipart/alternative; 
	boundary=""----=_Part_34522781_279825764.1631434167013"""
2021-09-12 12:52:49+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 11:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 10:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 10:36:12+05:30,Amazon Pay balance <AmazonPay-balance@amazon.in>,Rs 20.00 was paid on Amazon.in,"multipart/alternative; 
	boundary=""----=_Part_33275745_531088244.1631423171999"""
2021-09-12 10:34:49+05:30,"""Amazon.in"" <do-not-reply@amazon.in>",Congratulations! You've won a scratch card,"multipart/alternative; 
	boundary=""----=_Part_33218533_1935309062.1631423089373"""
2021-09-12 10:34:26+05:30,"""Amazon.in"" <auto-confirm@amazon.in>",Your Amazon.in order #403-7620191-4008335 of 3 items,"multipart/alternative; 
	boundary=""----=_Part_32811807_933707586.1631423065867"""
2021-09-12 10:26:40+05:30,HDFC Bank <Information@hdfcbank.net>,"Deepak,Special benefit for you on =?UTF-8?Q?Credit=F0=9F=92=B3?=
 No.xx5344","multipart/alternative; boundary=""----sinikael-?=_1-142921880"""
2021-09-12 10:04:46+05:30,XDA <newsletter@xda-developers.com>,Get the Galaxy Book Go for $299 today ($51 off),text/html; charset=UTF-8
2021-09-12 09:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 08:54:53+05:30,Amazon Marketplace <marketplace-messages@amazon.in>,"Deepak Nambiar, regarding your recent order at Amazon.in.","multipart/alternative; 
	boundary=""----=_Part_32904624_943268755.1631417093060"""
2021-09-12 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 07:40:32+05:30,CoinCodex <noreply@coincodex.com>,"=?utf-8?B?4q2Q?= Your Daily Crypto Recap (Sep 12, 2021).","multipart/alternative; 
	boundary=""----=_Part_12729_189035253.1631412631235"""
2021-09-12 07:00:01+05:30,Medium Daily Digest <noreply@medium.com>,"Forget HTML and Flask, Start Using Streamlit | Amit Chauhan in The
 Pythoneers",multipart/alternative; boundary=44dd27fae29baba2b079db23059431db7f8bdbd02bbddb2c75a2629ab8af
2021-09-12 05:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 05:46:40+05:30,"""Amazon.in"" <store-news@amazon.in>",THE DDS STORE Automatic Pet...,"multipart/alternative; 
	boundary=""----=_Part_7316538_623535421.1631405800014"""
2021-09-12 03:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 02:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 01:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-12 00:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 23:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 23:47:15+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Congratulations! Get 0% Processing Fee on your instant loan of Rs. 316,000","multipart/alternative;
	boundary=""K8A8NF18t6QY=_?:"""
2021-09-11 22:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 22:42:03+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Dear Deepak S Nambiar, now convert your Citi Credit Card outstanding into EMIs in just 2-clicks","multipart/alternative;
	boundary=""QNgeOoOpxcN9=_?:"""
2021-09-11 21:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 20:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 19:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 18:59:00+05:30,"""Integrated"" <customercare@integratedindia.in>","=?UTF-8?Q?Integrated=20Investment=20Update=20=E2=80=93=20Augus?=
 =?UTF-8?Q?t=2016=2D31=2C=202021=20=21?=",text/html; charset=UTF-8
2021-09-11 18:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 18:47:16+05:30,Myntra <updates@myntra.com>,=?UTF-8?Q?=F0=9F=91=89Click_For_An_AW=E2=80=9921_Wardrobe_Refresh?=,"multipart/alternative;
	boundary=""b1_387e7269ff9ae406452d05d454f85c5f"""
2021-09-11 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 17:30:00+05:30,"""Nomics.com News"" <news@nomics.com>","ETH Down 2.18%, SEC Says 'Third Parties' Asked About Status of XRP
 =?UTF-8?B?4oCT?= And Agency Stayed Silent - The Daily Hodl",multipart/related; boundary=fc756ebeed1a0c4af815b19a4e3130bdbd576893c9cdad428665bca3e3f0
2021-09-11 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 15:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 15:36:40+05:30,Netflix <info@mailer.netflix.com>,"Deepak, Lucifer Season 6 is now on Netflix","multipart/alternative; 
	boundary=""----=_Part_194948_793543714.1631354798958"""
2021-09-11 14:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-11 13:52:49+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 5 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
