Received Date,From,Email Subject,Message Content
2021-09-15 23:34:32+05:30,Go First <seats@flygofirst.com>,Exclusive offer for Golfers 🏌⛳,"multipart/alternative;
	boundary=""b1_757d3fea5e86e1ac5251c1d7a9961f97"""
2021-09-15 22:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 22:33:51+05:30,SBI Card <updates@info.sbicreditcard.com>,Exclusive cashback on payments at MyGate,"text/html;
	charset=""ISO-8859-1"""
2021-09-15 21:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 21:38:42+05:30,ShoppersStop <shopping@ss.shoppers-stop.co.in>,"So Many Tees, So Many Colors!🌈","multipart/alternative;
	boundary=""b1_964aca2af4a55999b4ed8e0e17df818c"""
2021-09-15 20:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 20:41:29+05:30,ICICI Bank <services@custcomm.icicibank.com>,"The Orange Book: September 2021 edition presents, financial life lessons from sports. Check out now!","multipart/alternative;
	boundary=""b1_fdecb4988131c9bfbe82ed9b8df0b649"""
2021-09-15 20:19:42+05:30,"""YES Premia CREDIT CARDS"" <customer.communication@custcom.yesbank.email>",Automate utility bill payments!,"multipart/alternative;
	boundary=""----=_NextPart_268_B924C968.B924C968"""
2021-09-15 19:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 18:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 17:29:46+05:30,"""Nomics.com News"" <news@nomics.com>","BNB Up 5.27%, Solana and Arbitrum knocked offline while Ethereum
 evades attack",multipart/related; boundary=ea670ec73b9e8eebca74e0b485b83c71a5b0f4afdade11cd09b4402ea2b6
2021-09-15 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 15:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 14:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 14:06:13+05:30,Dunzo <DONOTREPLY@dunzo.in>,Sunil Grover aka SRK fan wants to speak with you,"multipart/alternative; 
	boundary=""----=_Part_2264392_1991879649.1631694972349"""
2021-09-15 13:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 12:52:48+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 12:01:17+05:30,"""SpiceJet"" <spicejet@web-spicejet.com>",Book an extra seat 💺 and get to carry extra baggage 🧳along!,"multipart/alternative;
	boundary=""----=_NextPart_781_A781E078.A781E078"""
2021-09-15 11:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 11:42:53+05:30,HDFC Bank <informations@hdfcbank.net>,Convert transaction of Rs. 13202 into easy instalments,"text/html;
	charset=""utf-8"""
2021-09-15 11:33:38+05:30,"""BookMyShow"" <no-reply@newsletter.bookmyshow.com>",Still hiding bank statements from dad? 🙊  ,"text/html; charset=""utf-8"""
2021-09-15 11:13:38+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Congratulations! Get 0% Processing Fee on your instant loan of Rs. 316,000","multipart/alternative;
	boundary=""4huhtuKn28ks=_?:"""
2021-09-15 10:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 10:37:59+05:30,Amazon Marketplace <marketplace-messages@amazon.in>,"Deepak Nambiar, regarding your recent order at Amazon.in.","multipart/alternative; 
	boundary=""----=_Part_4195132_549448324.1631682479331"""
2021-09-15 10:23:37+05:30,no-reply-aws@amazon.com,AWS Free Tier limit alert,"multipart/alternative; 
	boundary=""----=_Part_5511844_1828516625.1631681616780"""
2021-09-15 10:20:16+05:30,HDFC Bank <informations@hdfcbank.net>,"Deepak S Nambiar, Final call! Ease out your Credit Card spends 😎","text/html;
	charset=""utf-8"""
2021-09-15 10:17:48+05:30,XDA <newsletter@xda-developers.com>,Nintendo Switch finally supports Bluetooth audio with new update,text/html; charset=UTF-8
2021-09-15 09:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 08:29:42+05:30,YONO SBI <yonobysbi@sbi.co.in>,"Get life cover of Rs. 1,100,000 without any medical test or
 document. TnCs Apply.","text/html; charset=""us-ascii"""
2021-09-15 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 07:40:31+05:30,CoinCodex <noreply@coincodex.com>,"⭐ Your Daily Crypto Recap (Sep 15, 2021).","multipart/alternative; 
	boundary=""----=_Part_36342_1807840899.1631671830272"""
2021-09-15 07:00:02+05:30,Medium Daily Digest <noreply@medium.com>,"Can the PC World compete with the M1? | Robert C. in
 DataDrivenInvestor",multipart/alternative; boundary=8a4145c05aab0aa1b12f186b3ace214192b01625c6fbe1d281072a6be0ef
2021-09-15 06:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 06:15:59+05:30,DELL India <info@pbengage.payback.in>,"Dear Deepak Nambiar, Work without Limits while accelerating all you do ...","multipart/alternative;
	boundary=""b1_80272ec6f830d517b008d6a4996c0556"""
2021-09-15 05:37:18+05:30,"""Amazon.in"" <store-news@amazon.in>",D-Link DWA-131 Wireless N Nano...,"multipart/alternative; 
	boundary=""----=_Part_215776_1095340750.1631664437706"""
2021-09-15 04:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 03:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 02:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 01:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 00:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 00:01:09+05:30,AWS Marketplace <no-reply@marketplace.aws>,A Message from AWS Marketplace,"multipart/alternative; 
	boundary=""----=_Part_710464_339763054.1631644269167"""
2021-09-15 00:00:46+05:30,AWS Marketplace <no-reply@marketplace.aws>,A Message from AWS Marketplace,"multipart/alternative; 
	boundary=""----=_Part_22621_717556034.1631644245946"""
2021-09-14 23:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 22:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 22:22:20+05:30,"""YES BANK CREDIT CARDS"" <customer.communication@custcom.yesbank.email>",Get the latest Apple device from Tata CLiQ,"multipart/alternative;
	boundary=""----=_NextPart_781_5073EB25.5073EB25"""
2021-09-14 21:52:49+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 21:28:55+05:30,"""YES Premia CREDIT CARDS"" <customer.communication@custcom.yesbank.email>",Get the latest Apple device from Tata CLiQ,"multipart/alternative;
	boundary=""----=_NextPart_191_5042FED1.5042FED1"""
2021-09-14 20:52:48+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 20:45:35+05:30,CRED <talk@cred.club>,this week in Savor: an interview with the 8:30 collective,text/html; charset=us-ascii
2021-09-14 19:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 18:57:14+05:30,SBI Card <updates@info.sbicreditcard.com>,How to make the most of your SBI Credit Card?,"text/html;
	charset=""ISO-8859-1"""
2021-09-14 18:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 18:43:08+05:30,HDFC Bank <informations@hdfcbank.net>,Convert your transaction of Rs. 13202,"text/html;
	charset=""utf-8"""
2021-09-14 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 17:30:26+05:30,"""Nomics.com News"" <news@nomics.com>","ETH Up 3.42%, Price analysis 9/13: BTC, ETH, ADA, BNB, XRP, SOL, DOT,
 DOGE, LUNA, UNI",multipart/related; boundary=c15e94eec735a7c1aa3fbb5df19b0cfd1ed6db3890baf1c84225a73b92ec
2021-09-14 16:55:59+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>",Limited period offer on MakeMyTrip! Get up to 30% savings exclusively with Citi cards,"multipart/alternative;
	boundary=""A7gkVuf3xRjW=_?:"""
2021-09-14 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 16:40:51+05:30,Myntra <updates@myntra.com>,Just Launched: Myntra StyleCast!,"multipart/alternative;
	boundary=""b1_e290b9a6f4d565b7cf4e0ae65be55b02"""
2021-09-14 16:19:44+05:30,Google <no-reply@accounts.google.com>,Security alert,"multipart/alternative; boundary=""000000000000e18faa05cbf256ce"""
2021-09-14 15:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 14:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 14:36:37+05:30,"""Integrated"" <customercare@integratedindia.in>",Invest Systematically to achieve your Financial Goals !,text/html; charset=UTF-8
2021-09-14 13:52:51+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 12:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 12:13:21+05:30,support@newsapi.org,News API registration complete!,text/plain; charset=utf-8
2021-09-14 11:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 10:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 10:35:12+05:30,XDA <newsletter@xda-developers.com>,One UI 4 Beta program lets Galaxy S21 users try out Android 12,text/html; charset=UTF-8
2021-09-14 10:01:10+05:30,Medium Membership <members@medium.com>,How your membership rewards great writing,multipart/alternative; boundary=ce86cfa580abe9d78d981d77a727bbca2466aab21711a90cf03321718620
2021-09-14 09:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 09:49:31+05:30,HDFC Bank <informations@hdfcbank.net>,"Deepak S Nambiar, ease out your Credit Card spends before bill date","text/html;
	charset=""utf-8"""
2021-09-14 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 08:30:29+05:30,"""Amazon Internet Services Pvt. Ltd."" <aws-india-marketing@amazon.com>",Automate and and Reduce Risk for your business,"multipart/alternative; 
	boundary=""----=_Part_227750357_278257947.1631588424394"""
2021-09-14 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 07:40:32+05:30,CoinCodex <noreply@coincodex.com>,"⭐ Your Daily Crypto Recap (Sep 14, 2021).","multipart/alternative; 
	boundary=""----=_Part_27512_775962878.1631585430882"""
2021-09-14 07:00:02+05:30,Medium Daily Digest <noreply@medium.com>,"Four Unusual Python Code Smells | Mohammed Ayar in Towards Data
 Science",multipart/alternative; boundary=ef3c60f9e1815a833f28c665a26b5922bb5ea78eb4b522a317de09c8553f
2021-09-14 06:53:25+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 05:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 05:34:11+05:30,"""Amazon.in"" <store-news@amazon.in>",Zinq Technologies Cool Slate...,"multipart/alternative; 
	boundary=""----=_Part_114096_775816968.1631577850237"""
2021-09-14 04:54:26+05:30,Steam <noreply@steampowered.com>,Katana ZERO from your Steam wishlist is now on sale!,"multipart/alternative;
 boundary=""np613fdda992f62"""
2021-09-14 03:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 03:51:06+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>",Limited period offer on MakeMyTrip! Get up to 30% savings exclusively with Citi cards,"multipart/alternative;
	boundary=""pTX6Pir6srkr=_?:"""
2021-09-14 02:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 01:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
